"stopTag","stopName","latitude","longitude","routeTags"
"1967","Caledonia Rd At Tycos Dr","43.70314","-79.46438","47"
"7266","Kennedy Rd At Corvette Ave","43.72535","-79.26516","113"
"1345","1050 McNicoll Ave","43.80416","-79.33342","42"
"3353","Ossington Ave At Argyle St","43.64699","-79.41991","363,63"
"7678","St Clair Ave East At Herron Ave","43.71129","-79.28507","8"
"6219","Three Valleys Dr At Laurentide Dr","43.75149","-79.33635","91"
"4326","Lake Shore Garage Loop","43.65615","-79.33019","83"
"6063","20 Norelco Dr","43.7624","-79.5333","84"
"9147","150 Murison Blvd","43.800148","-79.20466","132"
"24577","Downsview Park Blvd At Stanley Greene Blvd","43.73611","-79.4793","101,128"
"4499","Danforth Ave At Chester Ave","43.67765","-79.35183","300"
"886","Weston Rd At Oak St North Side","43.70815","-79.53362","89,989,73"
"4211","Lawrence Ave East At Beechgrove Dr West Side","43.77395","-79.16217","354,954,54"
"14733","Victoria Park Station","43.69448","-79.2887","24"
"5189","Bloor St West At Lansdowne Ave","43.65822","-79.44296","300"
"24119","Steeles Ave East At Waggoners Wells Lane","43.81016","-79.36573","353,51,53"
"7321","Queen St West At University Ave - Osgoode Station","43.65068","-79.38693","301,501"
"4259","The Queensway At Burma Dr","43.62811","-79.49505","80"
"7303","McCowan Rd At Cree Ave","43.73082","-79.235","9"
"1607","Opposite 1275 Morningside Ave","43.80341","-79.20027","116"
"1763","Morningside Ave At Sewells Rd North Side","43.81663","-79.21143","116"
"5809","Albion Rd At Armel Crt","43.72125","-79.54546","396,996,118,73,96"
"3440","Promenade Cir At East Promenade North Side (Mall East Ent)","43.80758","-79.45017","160"
"606","Ossington Ave At Bloor St West","43.66182","-79.42545","363,63"
"1422","Warden Ave At Cass Ave","43.77584","-79.30637","68"
"4364","Queen St East At Neville Park Blvd","43.67362","-79.28253","301,501"
"5686","Kingston Rd At Bingham Ave","43.68065","-79.2851","322"
"832","Steeles Ave East At Middlefield Rd","43.83251","-79.2681","353,953,53"
"4642","Guildwood Pkwy At Rowatson Rd","43.74722","-79.20116","116"
"10399","Manitoba Dr At Strachan Ave West Side","43.6363","-79.41041","363,929,511,307,509"
"9000","McNicoll Ave At Middlefield Rd","43.82059","-79.26085","130,42"
"9858","Martin Grove Rd At Sabine Rd","43.66682","-79.55978","46"
"4923","Yonge St At Teddington Park Ave","43.7329","-79.40412","320,97"
"6594","Bathurst St At Ulster St","43.65987","-79.40919","511,307"
"881","The West Mall At The Queensway South Side","43.61175","-79.56233","123,80"
"1466","Warden Ave At Minford Ave North Side","43.73722","-79.29129","68"
"1586","Don Mills Rd At Moatfield Dr South Side","43.75833","-79.34732","25,325"
"6887","Finch Ave West At Sentinel Rd","43.76119","-79.4998","36,336"
"1031","Queens Quay West At Bathurst St East Side Billy Bishop Airport","43.63605","-79.39777","509"
"6335","Bathurst St At Tichester Rd","43.6853","-79.41907","7,307"
"3482","Mortimer Ave At Inwood Ave","43.68815","-79.33746","62"
"8882","Queen St East At Leslie St","43.66333","-79.33011","301,501,503"
"4650","Gerrard St East At Coxwell Ave","43.67566","-79.31984","306,506"
"887","Weston Rd At Rogers Rd North Side","43.68203","-79.47709","161"
"10092","Sloane Ave At Wigmore Dr","43.73247","-79.31046","91"
"9359","Bellamy Rd North At Nelson St South Side","43.74627","-79.2311","9"
"2310","2900 Warden Ave - Bridlewood Mall","43.79924","-79.31716","68,324"
"4876","Garratt Blvd At Plewes Rd South Side","43.73336","-79.46944","184"
"3663","Weston Rd At Mainshep Rd","43.73177","-79.53775","165"
"1485","Ellesmere Rd At Dundalk Dr West Side","43.76519","-79.28434","95,395"
"3853","West Mall Cres At The West Mall","43.62709","-79.55967","112,123"
"5041","Wilson Ave At Jane St","43.72075","-79.50881","396,165,996,118,119,96"
"2804","Brimorton Dr At Orton Park Rd","43.77134","-79.20899","54"
"2465","Islington Ave At Van Dusen Blvd","43.6416","-79.52222","110,337"
"9818","Keele St At Wilson Ave South Side","43.72605","-79.48212","341,941,41"
"4274","Huntingwood Dr At Brimley Rd","43.79828","-79.27359","169,130"
"9881","O'Connor Dr At Amsterdam Ave West Side","43.71426","-79.30614","91,70"
"2441","Caledonia Rd At Orfus Rd","43.71758","-79.46799","47"
"2663","McNicoll Ave At La Peer Blvd","43.80742","-79.31586","42"
"2642","Scarborough Golf Club Rd At Densgrove Rd","43.76763","-79.21791","54"
"5058","Dovercourt Rd At Northumberland St","43.66216","-79.42953","161"
"4482","Rogers Rd At Nairn Ave West Side","43.68414","-79.45216","161"
"1185","Pharmacy Ave At Lawrence Ave East","43.74344","-79.30488","67"
"6297","Bathurst St At Ava Rd","43.69785","-79.42418","7,307"
"736","Wellesley St East At Ontario St","43.66753","-79.37226","94"
"4217","Ellesmere Rd At Scarborough Golf Club Rd","43.77837","-79.22237","133,38,995,95,395"
"8826","The Queensway At Ellis Ave West Side","43.63782","-79.46698","80"
"6562","The Westway At Royal York Rd","43.696","-79.53292","52"
"2364","Dundas St West At Chestnut Hills Cres","43.65319","-79.52485","40"
"7414","Middlefield Rd At Passmore Ave","43.82701","-79.2648","130"
"6961","Bloor St West At Avenue Rd","43.66884","-79.39388","300"
"3597","Ellesmere Rd At Bellamy Rd North","43.77415","-79.24196","133,38,995,95,395"
"3678","Pape Ave At Wroxeter Ave","43.67501","-79.3432","325,304,72"
"1986","Victoria Park Ave At Rowena Dr","43.7516","-79.31317","24,324,924"
"6741","Danforth Ave At Eastwood Ave","43.69542","-79.26918","20"
"7747","6807 Steeles Ave West","43.75604","-79.61103","960,60,927"
"7087","Markham Rd At Walkway To Clandfield St","43.85925","-79.2563","102"
"8389","Royal York Rd At Yorkleigh Ave","43.69416","-79.53168","73"
"1086","Wineva Ave At Williamson Rd South Side","43.67368","-79.29694","64"
"5852","Finchdene Sq (East) At Finchdene Sq (South)","43.81746","-79.23243","353,134,334"
"8339","Shaw St At Adelaide St West","43.64263","-79.41537","363,63"
"4664","Dufferin St At Sylvan Ave","43.65479","-79.43348","929,29,329"
"10169","Kipling Ave At Gracey Blvd","43.6837","-79.55399","45"
"6411","Markham Rd At Denison St","43.84466","-79.25308","102"
"8303","Harbord St At Brunswick Ave","43.662178","-79.40613","94"
"6199","Lloyd Manor Rd At North Heights Rd","43.6637","-79.54929","46"
"8533","Jane St At Patika Ave","43.70519","-79.50423","35,335"
"4307","Eglinton Ave East At Don Avon Dr","43.71422","-79.36209","34,354,334,51,54"
"5269","Faywood Blvd At Bainbridge Ave","43.74801","-79.44951","104"
"1993","Castlemore Ave At The Bridle Walk","43.89617","-79.30806","129"
"24123","Lawrence Ave East At Birchmount Rd","43.74768","-79.28463","354,54"
"7219","O'Connor Dr At Woodbine Ave West Side","43.69997","-79.31957","8,70"
"5872","St Clair Ave East At North Woodrow Blvd","43.71545","-79.26645","102,16,9"
"4660","Woodsworth Rd At Northey Dr (East) - Walkway To Oriole Go Station","43.7646","-79.36527","115"
"4479","Parkview Hill Cres At Aspen Ave (South)","43.703598","-79.32829","93"
"8100","Lawrence Ave East At Bennett Rd","43.77304","-79.16604","354,954,54"
"5590","Sheppard Ave West At Magellan Dr","43.73981","-79.50957","84,384"
"2984","Leslie St At Tangmere Rd South Side","43.73558","-79.35636","51"
"10055","Yonge St At Melrose Ave","43.73301","-79.40438","320,97"
"3355","Sheppard Ave West At Yukon Lane","43.75193","-79.46747","106,107,108,84,384"
"739","Railside Rd At Codeco Crt East Side","43.73575","-79.32708","91"
"15194","Major Mackenzie Dr East At Ralph Chalmers Ave","43.90838","-79.27309","102"
"3004","160 Horner Ave - Toronto South Detention Centre","43.6099","-79.51503","110"
"14210","Finch Station","43.78111","-79.41506","339,939"
"3249","Grandravine Dr At Keele St","43.75188","-79.48861","108"
"9386","Eglinton Ave West At Duplex Ave","43.70618","-79.40066","13,61,32"
"24410","Kingston Rd At Rylander Blvd","43.79689","-79.14925","95"
"2015","Kennedy Rd At Flora Dr","43.74814","-79.27437","343,43"
"3225","Dundas St West At Shaver Ave South","43.63234","-79.54464","111,112,123"
"15152","Bloor St West At Brock Ave","43.65899","-79.43925","300"
"8517","Woodbine Ave At Kingston Rd","43.67405","-79.30805","92"
"1953","Eglinton Ave West At Jane St","43.68426","-79.49909","332,32"
"3152","Yonge St At Madawaska Ave","43.79366","-79.41881","320,60,53"
"2987","Warden Ave At Bamburgh Cir (North)","43.81608","-79.3244","68,324"
"1576","Norelco Dr At Ormont Dr","43.76736","-79.53448","84"
"8113","Gateway Blvd South Side At Grenoble Dr South Side","43.71166","-79.33013","100"
"2534","Sheppard Ave East At Clairtrell Rd","43.76628","-79.38994","385,85"
"9299","Crow Trail At Crittenden Sq","43.81221","-79.2333","134"
"7592","Victoria Park Ave At Sparks Ave","43.80865","-79.33851","24"
"646","Highway 27 At Queen'S Plate Dr - Woodbine Centre","43.72245","-79.59778","927"
"5730","211 The West Mall","43.63007","-79.55934","112"
"24399","Dundas St West At Bloor St West","43.64292","-79.5327","40"
"3837","Tandridge Cres At Byng Ave","43.72741","-79.54905","118"
"14307","Warden Station","43.71098","-79.27952","9"
"8490","Martin Grove Rd At The Westway","43.68318","-79.56691","46"
"6563","Middlefield Rd At Pebblewood Ave","43.82331","-79.26332","130"
"14720","Staines Rd At Boulderbrook Dr","43.83304","-79.22496","353,953,53"
"6338","Old Leslie St At 1200 Sheppard Ave East","43.77177","-79.36713","51"
"3093","Sheppard Ave East At Markham Rd","43.79402","-79.23852","385,85"
"3497","Kennedy Rd At Marilyn Ave South Side","43.78696","-79.29012","343,43"
"4322","Bathurst St At Dundas St West - Toronto Western Hospital","43.65218","-79.40587","511,307"
"7272","Pharmacy Ave At Pinemeadow Blvd","43.79264","-79.3248","167"
"7406","Driftwood Ave At Finch Ave West","43.7579","-79.51323","108"
"9376","Dupont St At Bathurst St","43.67303","-79.41448","26"
"1316","Islington Ave At Fairway Rd North Side","43.65504","-79.52788","37,337"
"9608","Victoria Park Ave At Sheppard Ave East","43.77508","-79.32272","24,167,324,924"
"8700","Martin Grove Rd At Belfield Rd","43.7017","-79.5753","46"
"5150","Eastdale Ave At Goodwood Park Cres","43.69461","-79.30077","87"
"8244","Roncesvalles Ave At Grenadier Rd","43.64864","-79.44987","304,504"
"2619","Scarlett Rd At Richview Rd North Side","43.68577","-79.51242","79"
"10084","Caledonia Rd At Eglinton Ave West","43.69278","-79.46203","47"
"23870","Keele St At Canarctic Dr","43.77509","-79.49372","107"
"5311","Ormont Dr At Barmac Dr (East)","43.7647","-79.54746","165"
"375","Attwell Dr At Belfield Rd North Side","43.69844","-79.59327","45"
"467","Toronto Zoo","43.81927","-79.17967","85"
"7957","Kingston Rd At Beech Ave","43.68016","-79.29089","322,503"
"8394","Jane St At Firgrove Cres (North) South Side","43.75455","-79.51712","99,35,335"
"7378","Sheppard Ave East At Barberry Pl West Side","43.76746","-79.38545","385,85"
"9338","Dundas St West At Pacific Ave","43.66551","-79.46845","312,40"
"10101","Opposite 7303 Warden Ave","43.83022","-79.32738","68"
"8108","Royal York Rd At Renault Cres North Side","43.68616","-79.52813","73"
"1136","Jane St At Milo Park Gate","43.76596","-79.51982","35,335"
"10194","Lawrence Ave East At Railside Rd (East)","43.74104","-79.3197","354,91,54"
"14084","Gerry Fitzgerald Dr At Steeles Ave West","43.78596","-79.47453","105,329"
"3011","Dundas St West At Highway 427","43.62881","-79.55516","112,123"
"303","Duplex Ave At Eglinton Ave West","43.70623","-79.40011","34,56,51,54"
"5181","Eglinton Ave East At Laird Dr West Side","43.71358","-79.3652","34,56,354,334,51,54"
"15454","Highway 7 At Birchmount Rd","43.85769","-79.32465","17"
"7606","Atkinson Ave At Rosedale Heights Dr (South)","43.81369","-79.44363","160"
"5025","Yonge St At Athabaska Ave","43.79529","-79.4192","320,60,53"
"2001","Markham Rd At Ellesmere Rd","43.77628","-79.23151","102,902"
"3867","Main St At Danforth Ave","43.6883","-79.30201","135,306,64"
"5343","Dundas St West At Wilmar Rd","43.63409","-79.54183","111,112,123"
"3444","Sheppard Ave East At Lapsley Rd East Side","43.79617","-79.22695","385,985,85"
"9754","Varna Dr At Ranee Ave","43.72348","-79.44538","109"
"8204","McCowan Rd At Commander Blvd North Side","43.79651","-79.26153","302,129,130"
"9946","Victoria Park Ave At York Mills Rd South Side","43.76273","-79.31755","24,324,924"
"6001","Mortimer Ave At Glebemount Ave","43.69134","-79.32081","62"
"5851","Burnhamthorpe Rd At Dundas St West North Side","43.649","-79.5291","50"
"631","Finch Ave West At Wilmington Ave","43.77005","-79.46083","36,336"
"8525","Passmore Ave At Middlefield Rd","43.82748","-79.26506","130"
